iter	Passed	Remaining
0	14	1460
1	30	1471
2	44	1435
3	59	1419
4	74	1414
5	89	1395
6	104	1383
7	118	1367
8	134	1359
9	151	1359
10	164	1331
11	178	1306
12	191	1279
13	208	1278
14	224	1269
15	238	1250
16	253	1235
17	266	1214
18	278	1187
19	291	1166
20	305	1148
21	317	1126
22	332	1111
23	349	1106
24	363	1089
25	380	1082
26	397	1074
27	412	1061
28	428	1049
29	443	1034
30	454	1012
31	467	993
32	479	974
33	495	962
34	509	946
35	524	932
36	541	922
37	557	909
38	573	896
39	588	882
40	603	869
41	617	853
42	628	833
43	641	816
44	654	800
45	667	783
46	681	768
47	697	755
48	712	741
49	728	728
50	745	715
51	760	701
52	772	684
53	788	671
54	803	657
55	817	642
56	830	626
57	847	613
58	861	598
59	877	584
60	889	568
61	900	551
62	915	537
63	932	524
64	946	509
65	961	495
66	978	481
67	993	467
68	1010	453
69	1023	438
70	1035	423
71	1048	407
72	1066	394
73	1081	379
74	1096	365
75	1108	349
76	1122	335
77	1136	320
78	1151	306
79	1166	291
80	1181	277
81	1197	262
82	1213	248
83	1230	234
84	1247	220
85	1263	205
86	1279	191
87	1291	176
88	1304	161
89	1316	146
90	1334	131
91	1345	117
92	1356	102
93	1367	87
94	1383	72
95	1396	58
96	1412	43
97	1427	29
98	1443	14
99	1460	0
